trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.5, 'e': 0.010051835744633576}",20,0,-65.88741741591397,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.009095277101695816}",25,10,23.23253663496382,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.008229747049020023}",30,16,26.36264617140165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.007446583070924338}",20,6,22.27519771595997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,17,13.255842540664759,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.006096746565515633}",25,11,11.45584766535131,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0055165644207607716}",20,10,17.41882985431371,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.004991593906910213}",20,0,33.434678094318315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.004516580942612666}",20,8,7.262428774597865,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,0,32.314631413833105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.003697863716482929}",20,9,18.907206075745847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.003345965457471272}",20,2,-12.886393072241717,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.0030275547453758127}",20,4,25.396289297871572,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.0027394448187683684}",20,7,21.84164435495205,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,7,22.97369782195459,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.002242867719485801}",20,0,30.364070665643418,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.002029430636295734}",30,16,24.955184661396167,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.0018363047770289056}",25,16,15.347082595724444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.001661557273173934}",25,17,16.95353702491683,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
