Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,195.424591,195.950912,193.572586,201.020004,195.941177,222353500
2016-01-05,196.311584,196.798950,194.995712,201.360001,196.272614,110845800
2016-01-06,193.328903,195.005417,192.607590,198.820007,193.796783,152112600
2016-01-07,190.394943,192.451630,188.698914,194.050003,189.147278,213436100
2016-01-08,190.258484,190.901810,186.739700,191.919998,187.071091,209817200
2016-01-11,188.133545,188.523453,185.024170,192.110001,187.256287,187941300
2016-01-12,188.923111,189.634659,186.310806,193.660004,188.767151,172330500
2016-01-13,189.537170,189.936813,183.620544,188.830002,184.059189,221168900
2016-01-14,184.760986,188.377228,182.918732,191.929993,187.080826,240795600
2016-01-15,182.051208,183.990906,180.832809,187.809998,183.064926,314240200
2016-01-19,185.160629,185.306824,181.495605,188.059998,183.308640,195244400
2016-01-20,180.355179,182.762787,176.446487,185.649994,180.959503,286547800
2016-01-21,181.505371,184.098145,179.975037,186.690002,181.973236,195772900
2016-01-22,184.985153,185.940414,184.107910,190.520004,185.706482,168319600
2016-01-25,185.121613,185.345795,182.675064,187.639999,182.899246,130371700
2016-01-26,183.659531,185.716202,183.269638,190.199997,185.394562,141036800
2016-01-27,184.790222,186.720200,182.333893,188.130005,183.376846,185681700
2016-01-28,185.160629,185.394562,182.431351,189.110001,184.332092,143798800
2016-01-29,185.219116,188.981583,185.082657,193.720001,188.825623,210529300
2016-02-01,187.665695,189.663895,186.993103,193.649994,188.757370,136061600
2016-02-02,187.110092,187.119827,184.751221,190.160004,185.355560,182564900
2016-02-03,186.573990,186.934631,182.372910,191.300003,186.466751,205054900
2016-02-04,185.891678,187.880127,185.160629,191.600006,186.759186,139531800
2016-02-05,186.164597,186.827438,182.470352,187.949997,183.201401,180788300
2016-02-08,181.076477,181.417618,178.181549,185.419998,180.735321,191526700
2016-02-09,178.727371,182.216919,178.571411,185.429993,180.745056,184513100
2016-02-10,181.700317,183.581543,180.442886,185.270004,180.589111,148214100
2016-02-11,177.733154,179.448669,176.514725,182.860001,178.239990,219058900
2016-02-12,180.286942,181.934250,179.312195,186.630005,181.914749,127632400
2016-02-16,184.000687,185.014404,182.889481,189.779999,184.985153,120250700
2016-02-17,186.330307,188.435745,186.184082,192.880005,188.006836,136009500
2016-02-18,188.318741,188.387009,186.876160,192.089996,187.236801,102343000
2016-02-19,186.340057,187.324524,185.638245,192.000000,187.149078,114793000
2016-02-22,188.971832,190.024536,188.893845,194.779999,189.858841,103640300
2016-02-23,189.098541,189.410477,187.324524,192.320007,187.460999,111455300
2016-02-24,185.813690,188.640411,184.536804,193.199997,188.318741,150812200
2016-02-25,188.835358,190.609390,187.958115,195.539993,190.599625,110728300
2016-02-26,191.603622,191.710815,189.975815,195.089996,190.161011,129833700
2016-02-29,190.180511,191.272186,188.445480,193.559998,188.669662,125918100
2016-03-01,190.083023,193.202194,189.537170,198.110001,193.104706,141799700
2016-03-02,192.744064,194.030701,192.266449,199.000000,193.972229,102415000
2016-03-03,193.767517,194.752014,193.104706,199.779999,194.732529,95172200
2016-03-04,194.956696,196.262863,194.001465,200.429993,195.366074,129293600
2016-03-07,194.303604,195.989929,194.215912,200.589996,195.522049,100219000
2016-03-08,194.284149,194.868973,193.202194,198.399994,193.387390,123974900
2016-03-09,194.323151,194.742233,193.416611,199.380005,194.342621,94801200
2016-03-10,194.907974,195.989929,192.393173,199.539993,194.498581,156838700
2016-03-11,196.175110,197.685959,194.479095,202.759995,197.637207,137964500
2016-03-14,197.052383,197.910141,196.672241,202.500000,197.383804,73612000
2016-03-15,196.272614,197.413040,195.970428,202.169998,197.062134,93169100
2016-03-16,196.506531,198.670456,196.457809,203.339996,198.202560,129303200
2016-03-17,198.105103,200.044815,197.646973,204.630005,199.459991,134278500
2016-03-18,200.038025,200.635681,199.675537,204.380005,200.243774,138372400
2016-03-21,199.940063,200.792450,199.675537,204.669998,200.527893,72926700
2016-03-22,199.636337,201.076584,199.450195,204.559998,200.420135,97471900
2016-03-23,199.979248,200.194794,198.901505,203.210007,199.097473,81052500
2016-03-24,197.911942,199.048477,197.657211,203.119995,199.009262,84360900
2016-03-28,199.489380,199.734314,198.607590,203.240005,199.126862,62408200
2016-03-29,198.656555,201.096161,198.303848,205.119995,200.968811,92922900
2016-03-30,202.124924,202.683380,201.429291,206.020004,201.850601,86365300
2016-03-31,201.742828,202.232697,201.174561,205.520004,201.360718,94584100
2016-04-01,200.214386,202.947937,199.851868,206.919998,202.732376,114423500
2016-04-04,202.644211,202.879349,201.723236,206.250000,202.075943,63497000
2016-04-05,200.527893,202.085724,199.763687,204.190002,200.057632,99662200
2016-04-06,200.057632,202.311081,199.851868,206.419998,202.242508,91839800
2016-04-07,200.988388,201.399918,198.979874,203.949997,199.822495,113859000
2016-04-08,201.184341,201.684036,199.744110,204.500000,200.361343,95040600
2016-04-11,201.096161,201.899597,199.783295,204.020004,199.891068,83757500
2016-04-12,200.087021,202.075943,199.577545,205.919998,201.752625,115350600
2016-04-13,202.810760,203.888489,202.653976,208.000000,203.790512,96336400
2016-04-14,203.859116,204.378372,203.398621,208.009995,203.800308,65212900
2016-04-15,203.800308,203.957077,203.202667,207.779999,203.574982,75761600
2016-04-18,203.574982,205.044632,202.810760,209.240005,205.005432,75277700
2016-04-19,205.495316,205.945999,204.711502,209.899994,205.652069,88316100
2016-04-20,205.701065,206.651428,205.152405,210.100006,205.848038,81100300
2016-04-21,205.867599,205.994995,204.427368,208.970001,204.740891,85695000
2016-04-22,204.329391,205.054398,203.702347,208.970001,204.740891,99251700
2016-04-25,204.045258,204.437164,203.339828,208.610001,204.388168,66166500
2016-04-26,204.809464,205.279755,204.143234,208.919998,204.691910,75864200
2016-04-27,204.251022,205.563889,203.839508,209.350006,205.113205,77329400
2016-04-28,204.241211,205.514893,202.771576,207.449997,203.251648,97216200
2016-04-29,202.536438,202.938126,200.880615,206.330002,202.154312,142424100
2016-05-02,202.732376,203.966873,202.232697,207.970001,203.761139,62188000
2016-05-03,202.340485,202.614792,201.125565,206.160004,201.987762,101267500
2016-05-04,200.841431,201.684036,200.282959,205.009995,200.861038,92243800
2016-05-05,201.399918,201.811401,200.331955,204.970001,200.821854,67619200
2016-05-06,199.930252,201.605652,199.753891,205.720001,201.556656,83784900
2016-05-09,201.409698,202.222885,201.203949,205.889999,201.723236,74374900
2016-05-10,202.536438,204.251022,202.458038,208.449997,204.231415,77472200
2016-05-11,203.702347,204.319580,202.320877,206.500000,202.320877,81727000
2016-05-12,203.094894,203.290848,201.213745,206.559998,202.379669,89586300
2016-05-13,202.036758,202.673599,200.243774,204.759995,200.616089,96474600
