Date,Open,High,Low,Close,Adj Close,Volume
2017-06-09,244.089996,245.009995,241.949997,243.410004,242.228745,132256400
2017-06-12,243.130005,243.419998,242.380005,243.360001,242.178986,86108100
2017-06-13,243.979996,244.610001,243.580002,244.550003,243.363220,60067000
2017-06-14,244.860001,244.869995,243.289993,244.240005,243.054718,78602300
2017-06-15,242.679993,243.910004,242.360001,243.770004,242.587006,66464900
2017-06-16,242.770004,242.830002,241.630005,242.639999,242.639999,84553100
2017-06-19,243.589996,244.729996,243.479996,244.660004,244.660004,65123800
2017-06-20,244.250000,244.259995,242.990005,243.009995,243.009995,56906400
2017-06-21,243.460007,243.589996,242.410004,242.949997,242.949997,55977600
2017-06-22,242.960007,243.529999,242.639999,242.839996,242.839996,44148100
2017-06-23,242.910004,243.509995,242.470001,243.130005,243.130005,66986800
2017-06-26,243.899994,244.380005,243.050003,243.289993,243.289993,56700500
2017-06-27,243.039993,243.380005,241.309998,241.330002,241.330002,82247700
2017-06-28,242.500000,243.720001,242.229996,243.490005,243.490005,66047600
