Date,Open,High,Low,Close,Adj Close,Volume
2017-06-09,164.740005,168.500000,142.750000,149.600006,149.600006,92323200
2017-06-12,145.880005,151.699997,142.110001,149.970001,149.970001,42438300
2017-06-13,154.399994,154.770004,145.649994,151.399994,151.399994,41812600
2017-06-14,151.520004,154.059998,148.500000,151.720001,151.720001,29616000
2017-06-15,146.960007,153.600006,146.500000,152.369995,152.369995,24095600
2017-06-16,152.759995,154.699997,150.240005,151.619995,151.619995,23124000
2017-06-19,153.410004,157.529999,153.259995,157.320007,157.320007,19454400
2017-06-20,159.029999,161.740005,156.919998,157.089996,157.089996,27386100
2017-06-21,158.210007,159.619995,155.699997,159.470001,159.470001,17066300
2017-06-22,159.800003,160.339996,157.399994,158.369995,158.369995,11728300
2017-06-23,158.679993,159.320007,153.220001,153.830002,153.830002,27214700
2017-06-26,155.160004,156.600006,148.330002,152.149994,152.149994,26599000
2017-06-27,151.440002,151.789993,146.350006,146.580002,146.580002,24987300
2017-06-28,149.320007,151.940002,145.750000,151.750000,151.750000,24792600
